DateTime,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption_Zone1,PowerConsumption_Zone2,PowerConsumption_Zone3,Total_Load,Hour,Day,Day_of_Week,Month,Weekend,Previous_Load,Next_Hour_Load
2017-01-01 00:00:00,6.196833333333333,75.06666666666666,0.08183333333333333,0.0635,0.09883333333333333,29197.974683333334,18026.74772,19252.048193333332,66476.77059666667,0,Sunday,6,1,Yes,,57778.52621
2017-01-01 01:00:00,5.5488333333333335,77.58333333333333,0.082,0.05683333333333334,0.1125,24657.21519,16078.419453333334,17042.89156666667,57778.52621,1,Sunday,6,1,Yes,66476.77059666667,52089.88164
2017-01-01 02:00:00,5.054333333333333,78.93333333333334,0.08233333333333333,0.063,0.12916666666666668,22083.037973333336,14330.699088333333,15676.144578333333,52089.88164,2,Sunday,6,1,Yes,57778.52621,48914.44754833333
2017-01-01 03:00:00,5.004333333333333,77.08333333333333,0.08283333333333333,0.05983333333333333,0.141,20811.13924,13219.452886666666,14883.855421666667,48914.44754833333,3,Sunday,6,1,Yes,52089.88164,47714.63834666667
2017-01-01 04:00:00,5.097666666666666,74.05,0.08233333333333333,0.057999999999999996,0.12283333333333334,20475.949366666668,12921.580546666666,14317.108433333333,47714.63834666667,4,Sunday,6,1,Yes,48914.44754833333,48272.17814333333
2017-01-01 05:00:00,4.741666666666666,75.23333333333333,0.081,0.06583333333333334,0.11883333333333333,20807.088606666668,13069.908815,14395.180721666666,48272.17814333333,5,Sunday,6,1,Yes,47714.63834666667,49758.69511833333
2017-01-01 06:00:00,4.571666666666666,75.75,0.08216666666666667,0.06166666666666667,0.1255,21648.607594999998,13596.352585,14513.734938333333,49758.69511833333,6,Sunday,6,1,Yes,48272.17814333333,41543.37860333334
2017-01-01 07:00:00,4.453833333333333,73.39999999999999,0.08266666666666667,0.0655,0.1195,18540.759495000002,11449.848023333334,11552.771085,41543.37860333334,7,Sunday,6,1,Yes,49758.69511833333,42534.02655833333
2017-01-01 08:00:00,4.655166666666667,73.60000000000001,0.08266666666666667,13.763833333333332,6.308666666666667,19605.06329,11738.601821666665,11190.361446666668,42534.02655833333,8,Sunday,6,1,Yes,41543.37860333334,49746.412145
2017-01-01 09:00:00,4.609166666666667,73.98333333333333,0.08216666666666667,144.79999999999998,25.215,22905.316455000004,13814.589666666667,13026.506023333333,49746.412145,9,Sunday,6,1,Yes,42534.02655833333,57720.32408166667
